IP地址,端口,数据中心,城市,TLS,已发送,已接收,丢包率,平均延迟,下载速度(MB/s)
45.147.48.147,443,FRA,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,193.85,49.80
194.87.24.119,2083,FRA,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,268.36,7.07
104.21.198.99,2096,AMS,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,229.56,25.48
162.159.22.192,2083,SIN,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,80.55,3.33
104.27.203.224,2096,FRA,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,223.74,37.70
91.110.209.58,443,HKG,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,116.03,17.73
45.136.14.61,2053,HKG,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,80.65,2.11
207.148.112.179,443,NRT,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,188.59,53.53
198.13.60.163,443,NRT,🇨🇳 CD [成都测速#02 tcp-precheck],true,6,6,0.00,191.71,50.65
45.95.212.117,443,NRT,🇨🇳 CD [成都测速#03 tcp-precheck],true,6,6,0.00,133.84,15.77
23.249.17.25,443,NRT,🇨🇳 CD [成都测速#04 tcp-precheck],true,6,6,0.00,142.37,13.41
211.49.57.178,443,ICN,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,83.85,14.71
85.155.176.11,8443,SIN,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,75.83,2.10
104.18.115.232,2087,LAX,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,195.57,1.50
172.64.148.105,2096,SIN,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,81.09,0.55
154.17.233.72,8443,LAX,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,163.61,61.55
154.21.90.246,8443,LAX,🇨🇳 CD [成都测速#02 tcp-precheck],true,6,6,0.00,178.77,60.21
154.21.89.231,8443,LAX,🇨🇳 CD [成都测速#03 tcp-precheck],true,6,6,0.00,178.87,34.47
64.186.240.9,8443,LAX,🇨🇳 CD [成都测速#04 tcp-precheck],true,6,6,0.00,170.47,28.26
142.248.219.44,2053,LAX,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,195.32,22.59
64.186.250.98,443,LAX,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,176.19,21.84
154.17.16.219,8443,LAX,🇨🇳 CD [成都测速#05 tcp-precheck],true,6,6,0.00,176.44,19.83
104.164.48.221,8443,LAX,🇨🇳 CD [成都测速#06 tcp-precheck],true,6,6,0.00,198.45,19.08
142.248.219.35,2053,LAX,🇨🇳 CD [成都测速#02 tcp-precheck],true,6,6,0.00,194.13,18.81
23.254.185.101,2096,LAX,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,202.15,16.37
142.248.219.238,2053,LAX,🇨🇳 CD [成都测速#03 tcp-precheck],true,6,6,0.00,194.96,15.78
154.23.172.132,443,LAX,🇨🇳 CD [成都测速#02 tcp-precheck],true,6,6,0.00,198.13,14.74
45.203.220.181,8443,LAX,🇨🇳 CD [成都测速#07 tcp-precheck],true,6,6,0.00,190.50,13.39
104.17.73.246,2087,LAX,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,187.67,12.97
98.158.29.76,443,LAX,🇨🇳 CD [成都测速#03 tcp-precheck],true,6,6,0.00,186.14,11.78
142.248.218.221,2053,LAX,🇨🇳 CD [成都测速#04 tcp-precheck],true,6,6,0.00,194.83,10.97
142.248.218.33,2053,LAX,🇨🇳 CD [成都测速#05 tcp-precheck],true,6,6,0.00,194.32,10.92
23.254.246.254,2083,LAX,🇨🇳 CD [成都测速#01 tcp-precheck],true,6,6,0.00,201.62,10.31
142.248.219.118,2053,LAX,🇨🇳 CD [成都测速#06 tcp-precheck],true,6,6,0.00,195.64,9.73
173.249.210.197,8443,SJC,🇨🇳 CD [成都测速#08 tcp-precheck],true,6,6,0.00,197.66,7.78
