IP地址,端口,数据中心,城市,TLS,已发送,已接收,丢包率,平均延迟,下载速度(MB/s)
172.64.83.150,2083,LAX,🇩🇪 DE [GitHub Actions#04 tcp-precheck],true,6,6,0.00,185.91,37.20
104.17.13.169,2087,LAX,🇩🇪 DE [GitHub Actions#02 tcp-precheck],true,6,6,0.00,191.75,52.02
92.119.90.67,8443,FRA,🇩🇪 DE [GitHub Actions#07 tcp-precheck],true,6,6,0.00,196.80,4.28
194.87.227.235,2053,AMS,🇩🇪 DE [GitHub Actions#06 tcp-precheck],true,6,6,0.00,203.68,11.63
85.190.102.23,8443,FRA,🇩🇪 DE [GitHub Actions#04 tcp-precheck],true,6,6,0.00,205.53,8.97
146.103.40.137,8443,FRA,🇩🇪 DE [GitHub Actions#02 tcp-precheck],true,6,6,0.00,208.41,14.54
104.24.185.159,2083,FRA,🇩🇪 DE [GitHub Actions#01 tcp-precheck],true,6,6,0.00,215.02,59.71
82.153.50.67,2053,FRA,🇩🇪 DE [GitHub Actions#01 tcp-precheck],true,6,6,0.00,215.34,14.86
152.53.224.23,8443,FRA,🇩🇪 DE [GitHub Actions#06 tcp-precheck],true,6,6,0.00,217.55,4.57
37.120.186.205,2083,FRA,🇩🇪 DE [GitHub Actions#02 tcp-precheck],true,6,6,0.00,219.50,57.63
193.26.158.64,8443,FRA,🇩🇪 DE [GitHub Actions#01 tcp-precheck],true,6,6,0.00,219.58,19.18
89.58.15.226,2087,FRA,🇩🇪 DE [GitHub Actions#07 tcp-precheck],true,6,6,0.00,219.61,2.61
94.16.121.196,8443,FRA,🇩🇪 DE [GitHub Actions#05 tcp-precheck],true,6,6,0.00,220.09,5.86
194.87.105.23,8443,FRA,🇩🇪 DE [GitHub Actions#03 tcp-precheck],true,6,6,0.00,221.43,11.73
37.120.186.205,2087,FRA,🇩🇪 DE [GitHub Actions#01 tcp-precheck],true,6,6,0.00,223.23,59.76
2.56.246.55,2083,FRA,🇩🇪 DE [GitHub Actions#06 tcp-precheck],true,6,6,0.00,225.35,10.57
194.87.25.221,2053,FRA,🇩🇪 DE [GitHub Actions#12 tcp-precheck],true,6,6,0.00,226.46,5.77
194.35.13.234,2053,FRA,🇩🇪 DE [GitHub Actions#03 tcp-precheck],true,6,6,0.00,226.48,12.44
188.241.241.20,2053,FRA,🇩🇪 DE [GitHub Actions#04 tcp-precheck],true,6,6,0.00,226.66,12.27
93.177.64.127,2087,HAM,🇩🇪 DE [GitHub Actions#06 tcp-precheck],true,6,6,0.00,226.93,3.18
162.159.22.192,2083,SIN,🇬🇧 GB [GitHub Actions#04 tcp-precheck],true,6,6,0.00,73.83,2.42
104.17.201.10,2096,LAX,🇬🇧 GB [GitHub Actions#01 tcp-precheck],true,6,6,0.00,185.11,65.55
193.219.99.210,8443,LHR,🇬🇧 GB [GitHub Actions#01 tcp-precheck],true,6,6,0.00,216.69,12.23
193.219.99.208,8443,LHR,🇬🇧 GB [GitHub Actions#03 tcp-precheck],true,6,6,0.00,217.45,11.49
193.219.99.251,8443,LHR,🇬🇧 GB [GitHub Actions#05 tcp-precheck],true,6,6,0.00,220.86,2.08
193.219.99.26,8443,LHR,🇬🇧 GB [GitHub Actions#02 tcp-precheck],true,6,6,0.00,221.09,12.20
193.219.99.85,8443,LHR,🇬🇧 GB [GitHub Actions#04 tcp-precheck],true,6,6,0.00,221.45,10.86
172.66.159.152,2096,FRA,🇬🇧 GB [GitHub Actions#02 tcp-precheck],true,6,6,0.00,228.38,60.23
91.245.226.122,2053,BRU,🇬🇧 GB [GitHub Actions#03 tcp-precheck],true,6,6,0.00,236.36,14.69
163.5.94.137,2053,LHR,🇬🇧 GB [GitHub Actions#02 tcp-precheck],true,6,6,0.00,247.98,58.09
104.21.198.99,2096,AMS,🇬🇧 GB [GitHub Actions#03 tcp-precheck],true,6,6,0.00,248.17,59.78
104.21.73.214,2096,AMS,🇬🇧 GB [GitHub Actions#04 tcp-precheck],true,6,6,0.00,255.57,59.46
85.121.48.7,2096,LHR,🇬🇧 GB [GitHub Actions#05 tcp-precheck],true,6,6,0.00,256.47,12.70
172.67.128.44,2053,AMS,🇬🇧 GB [GitHub Actions#01 tcp-precheck],true,6,6,0.00,260.84,59.17
217.144.190.14,2053,FRA,🇬🇧 GB [GitHub Actions#04 tcp-precheck],true,6,6,0.00,269.40,11.37
213.165.42.98,2087,FRA,🇬🇧 GB [GitHub Actions#01 tcp-precheck],true,6,6,0.00,269.64,30.55
89.208.96.213,2083,FRA,🇬🇧 GB [GitHub Actions#05 tcp-precheck],true,6,6,0.00,274.21,1.36
138.124.113.200,2083,FRA,🇬🇧 GB [GitHub Actions#01 tcp-precheck],true,6,6,0.00,278.00,11.93
91.108.254.93,2087,LHR,🇬🇧 GB [GitHub Actions#02 tcp-precheck],true,6,6,0.00,291.43,11.69
176.124.202.130,2083,FRA,🇬🇧 GB [GitHub Actions#02 tcp-precheck],true,6,6,0.00,298.51,10.72
149.104.6.78,8443,HKG,🇭🇰 HK [GitHub Actions#02 tcp-precheck],true,6,6,0.00,50.36,2.10
149.104.4.249,2053,HKG,🇭🇰 HK [GitHub Actions#03 tcp-precheck],true,6,6,0.00,56.26,5.79
45.136.14.61,2053,HKG,🇭🇰 HK [GitHub Actions#02 tcp-precheck],true,6,6,0.00,61.48,11.11
103.192.179.132,443,HKG,🇭🇰 HK [GitHub Actions#01 tcp-precheck],true,6,6,0.00,88.40,6.59
103.39.78.112,8443,HKG,🇭🇰 HK [GitHub Actions#03 tcp-precheck],true,6,6,0.00,183.66,0.05
104.17.211.34,8443,LAX,🇭🇰 HK [GitHub Actions#01 tcp-precheck],true,6,6,0.00,191.51,64.90
172.66.209.169,2053,FRA,🇭🇰 HK [GitHub Actions#01 tcp-precheck],true,6,6,0.00,210.46,62.30
104.27.203.224,2096,FRA,🇭🇰 HK [GitHub Actions#02 tcp-precheck],true,6,6,0.00,215.43,57.99
172.67.95.255,2087,FRA,🇭🇰 HK [GitHub Actions#01 tcp-precheck],true,6,6,0.00,221.66,58.45
